word,ipa,count,ipa_edited,pos,syns
कोई,koiː,24713,koi,ADJ,True
करते,kərte,24639,karte,VERB,False
हुआ,ɦuaː,23327,hua,VERB,False
हुई,ɦuiː,23241,hui,VERB,False
किसी,kisiː,22971,kisi,ADJ,False
तरह,tərəɦ,22513,tarah,NOUN,True
उनके,unke,22496,unke,PRON,False
उन्हें,unɦen,22368,unhen,PRON,False
जब,d͡ʒəb,22181,ʒab,ADV,True
बार,baːr,22086,bar,NOUN,True
टीम,ʈiːm,22049,tim,NOUN,True
दिन,din,21147,din,NOUN,True
देश,deʃ,21115,deʃ,NOUN,True
या,jaː,20923,ja,CONJ,False
आप,aːp,20517,ap,PRON,True
बीच,biːt͡ʃ,20494,bit͡ʃ,ADP,True
समय,səməj,20402,samaj,NOUN,True
दो,do,20356,do,PART,True
पार्टी,paːrʈiː,20356,parti,NOUN,True
वो,vo,20254,vo,PRON,False
दौरान,dɔːraːn,20116,doran,ADV,True
रुपये,rupje,19999,rupje,NOUN,False
मामले,maːmle,19753,mamle,NOUN,False
क्या,kjaː,19615,kja,PRON_WH,False
सकता,səktaː,19527,sakta,VERB,False
फिर,pʰir,19522,pir,ADV,True
दोनों,donon,19245,donon,ADJ,True
वहीं,vəɦiːn,19198,vahin,ADV,True
ज्यादा,d͡ʒjaːdaː,19146,ʒjada,ADJ,True
सिंह,sinɦə,18986,sinha,PROPN,True
सबसे,səbse,18801,sabse,X,False
दिल्ली,dilliː,18767,dilli,PROPN,True
सकते,səkte,18701,sakte,VERB,False
चुनाव,t͡ʃunaːv,18562,t͡ʃunav,NOUN,True
लोग,loɡ,18197,log,NOUN,True
कांग्रेस,kaːŋɡres,17744,kangres,PROPN,True
ऐसे,æːse,17575,aese,ADP,True
काम,kaːm,17291,kam,NOUN,True
आज,aːd͡ʒ,17201,aʒ,ADV,True
काफी,kaːpʰiː,17172,kapi,ADV,True
सभी,səb̤iː,17133,sabi,DET,True
नाम,naːm,17022,nam,NOUN,True
लिया,lijaː,16966,lija,VERB,False
शुरू,ʃuruː,16947,ʃuru,ADV,True
अगर,aɡər,16591,agar,CONJ,True
जाता,d͡ʒaːtaː,16588,ʒata,VERB,False
उनकी,unkiː,16533,unki,PRON,False
इन,in,16394,in,ADP,True
करना,kərnaː,16371,karna,VERB,True
खिलाफ,kʰilaːpʰ,16222,kilap,ADP,True
भारतीय,b̤aːrtiːj,16064,bartij,ADJ,True
आ,aː,15928,a,PART,True
कम,kəm,15613,kam,ADJ,True
होगा,ɦoɡaː,15609,hoga,VERB,False
बीजेपी,biːd͡ʒepiː,15488,biʒepi,PROPN,True
वाली,vaːliː,15405,vali,PART,True
प्रदेश,prədeʃ,15208,pradeʃ,PROPN,True
जारी,d͡ʒaːriː,14759,ʒari,X,True
यहां,jəɦaːn,14648,jahan,ADV,True
पास,paːs,14569,pas,NOUN,True
सामने,saːmne,14270,samne,ADV,True
घर,ɡ̤ər,14213,g̤ar,NOUN,True
हम,ɦəm,14201,ham,PRON,False
मैं,mæːn,13980,maen,PRON,False
शामिल,ʃaːmil,13802,ʃamil,X,True
हालांकि,ɦaːlaːŋki,13761,halanki,ADV,False
वे,ve,13626,ve,PRON,True
उसके,uske,13598,uske,PRON,False
कंपनी,kəmpniː,13525,kampni,NOUN,True
इससे,isse,13517,isse,ADV,False
आपको,aːpko,13467,apko,PRON,False
फिल्म,pʰilmə,13251,pilma,NOUN,True
होता,ɦotaː,13221,hota,VERB,True
हर,ɦər,12968,har,ADJ,True
बहुत,bəɦut,12940,bahut,ADV,True
मुताबिक,mutaːbik,12797,mutabik,X,True
उसे,use,12793,use,PRON,False
जाने,d͡ʒaːne,12591,ʒane,PART,False
वजह,vəd͡ʒəɦ,12417,vaʒah,NOUN,True
पिछले,pit͡ʃʰle,12159,pit͡ʃle,X,False
ऐसा,æːsaː,12105,aesa,ADV,True
अभी,ab̤iː,12061,abi,ADV,True
मंत्री,məntriː,11828,mantri,PROPN,True
मोदी,modiː,11824,modi,PROPN,True
इसमें,ismen,11791,ismen,PART,False
किए,kie,11752,kie,VERB,False
रूप,ruːp,11751,rup,NOUN,True
वीडियो,viːɖijo,11657,vidijo,X,False
इसे,ise,11612,ise,ADP,False
उस,us,11599,us,ADV,False
जानकारी,d͡ʒaːnkaːriː,11578,ʒankari,NOUN,True
अपना,apnaː,11354,apna,X,True
सकती,səktiː,11349,sakti,VERB,False
तीन,tiːn,11327,tin,NUM,True
पाकिस्तान,paːkistaːn,11169,pakistan,PROPN,True
देने,dene,11114,dene,VERB,False
दर्ज,dərd͡ʒə,11028,darʒa,X,True
अलावा,alaːvaː,10997,alava,X,True
दे,de,10991,de,VERB,False
मैच,mæːt͡ʃ,10829,maet͡ʃ,NOUN,True
आगे,aːɡe,10771,age,ADV,True
बारे,baːre,10748,bare,X,True
इसी,isiː,10704,isi,NOUN,False
कोर्ट,korʈə,10621,korta,NOUN,True
रूस,ruːs,10573,rus,PROPN,True
जांच,d͡ʒaːɲt͡ʃə,10571,ʒant͡ʃa,NOUN,True
यूक्रेन,juːkren,10464,jukren,PROPN,True
महिला,məɦilaː,10443,mahila,NOUN,True
करें,kəren,10364,karen,VERB,False
होती,ɦotiː,10364,hoti,VERB,False
जबकि,d͡ʒəbki,10092,ʒabki,CONJ,False
चाहिए,t͡ʃaːɦie,9904,t͡ʃahie,VERB,False
लाख,laːkʰ,9852,lak,NOUN,True
ओर,or,9831,or,NOUN,True
खान,kʰaːn,9831,kan,PROPN,True
कोरोना,koronaː,9824,korona,NOUN,False
करीब,kəriːb,9780,karib,NOUN,True
कारण,kaːrəɳ,9757,karan,NOUN,True
आने,aːne,9713,ane,VERB,False
पूरी,puːriː,9684,puri,ADJ,True
मिल,mil,9644,mil,VERB,True
मीडिया,miːɖijaː,9638,midija,NOUN,True
राज्य,raːd͡ʒjə,9636,raʒja,NOUN,True
नेता,netaː,9632,neta,NOUN,True
नजर,nəd͡ʒər,9621,naʒar,NOUN,True
करोड़,kəroɽ,9580,karod,NOUN,True
न,nə,9485,na,PART_NEG,True
जाएगा,d͡ʒaːeɡaː,9451,ʒaega,VERB,False
दूसरे,duːsre,9416,dusre,NUM,False
बता,bətaː,9410,bata,VERB,False
मुख्यमंत्री,mukʰjəməntriː,9396,mukjamantri,PROPN,True
रन,rən,9385,ran,NOUN,True
लगा,ləɡaː,9379,laga,VERB,True
ले,le,9325,le,VERB,False
क्योंकि,kjoŋki,9269,kjonki,CONJ,False
प्रधानमंत्री,prəd̤aːnməntriː,9162,pradanmantri,PROPN,True
जिसमें,d͡ʒismen,9136,ʒismen,ADV,False
उनका,unkaː,9109,unka,PRON,False
अन्य,anjə,8977,anja,X,True
वाला,vaːlaː,8885,vala,PART,False
जहां,d͡ʒəɦaːn,8874,ʒahan,ADV,True
पता,pətaː,8816,pata,NOUN,True
तब,təb,8802,tab,ADV,True
मौत,mɔːt,8762,mot,NOUN,True
दें,den,8745,den,VERB,False
इसका,iskaː,8715,iska,ADP,False
बना,bənaː,8666,bana,VERB,False
परिवार,pərivaːr,8566,parivar,NOUN,True
आए,aːe,8542,ae,VERB,False
अधिक,ad̤ik,8519,adik,ADJ,True
महीने,məɦiːne,8481,mahine,NOUN,False
शेयर,ʃejər,8462,ʃejar,NOUN,True
दिनों,dinon,8446,dinon,NOUN,False
दुनिया,dunijaː,8443,dunija,NOUN,True
यादव,jaːdəv,8437,jadav,PROPN,True
सिर्फ,sirpʰə,8437,sirpa,ADV,True
उत्तर,uttər,8430,uttar,NOUN,True
रहने,rəɦne,8406,rahne,VERB,False
करता,kərtaː,8381,karta,VERB,True
बड़ी,bəɽiː,8367,badi,ADJ,True
जैसे,d͡ʒæːse,8356,ʒaese,ADP,True
बाहर,baːɦər,8321,bahar,ADV,True
आया,aːjaː,8281,aja,VERB,True
पूर्व,puːrvə,8280,purva,X,True
चीन,t͡ʃiːn,8278,t͡ʃin,PROPN,True
इसकी,iskiː,8223,iski,PART,False
शादी,ʃaːdiː,8221,ʃadi,NOUN,True
कुमार,kumaːr,8191,kumar,PROPN,True
कहना,kəɦnaː,8167,kahna,X,True
आई,aːiː,8135,ai,X,True
होगी,ɦoɡiː,8133,hogi,VERB,False
नए,nəe,8076,nae,ADJ,False
मुझे,mud͡ʒ̤e,8064,muʒe,PRON,False
चल,t͡ʃəl,8018,t͡ʃal,VERB,True
दिए,die,8009,die,VERB,False
पहली,pəɦliː,8003,pahli,NOUN,True
अनुसार,anusaːr,7974,anusar,X,True
