word,ipa,count,ipa_edited,pos,syns
मैनेजिंग,mæːned͡ʒiŋɡə,91,maeneʒinga,NOUN,False
यंत्र,jəntrə,91,jantra,PART,True
राजकुमारी,raːd͡ʒkumaːriː,91,raʒkumari,NOUN,True
विज्ञापनों,vid͡ʒɲaːpnon,91,viʒnapnon,NOUN,False
शतकीय,ʃətkiːj,91,ʃatkij,ADJ,True
सफाया,səpʰaːjaː,91,sapaja,VERB,True
समझौतों,səmd͡ʒ̤ɔːton,91,samʒoton,NOUN,False
सम्पर्क,səmpərkə,91,samparka,X,True
सादगी,saːdɡiː,91,sadgi,ADJ,True
सूचनाएं,suːt͡ʃnaːen,91,sut͡ʃnaen,X,False
सूटकेस,suːʈkes,91,sutkes,NOUN,True
हल्ला,ɦəllaː,91,halla,NOUN,True
हासन,ɦaːsən,91,hasan,NOUN,False
अनिश्चितता,aniʃt͡ʃittaː,90,aniʃt͡ʃitta,PART,True
अनुपालन,anupaːlən,90,anupalan,ADP,True
अपनाई,apnaːiː,90,apnai,X,False
असोपा,asopaː,90,asopa,PROPN,False
आकाशगंगा,aːkaːʃɡəŋɡaː,90,akaʃganga,PROPN,True
आहट,aːɦəʈ,90,ahat,X,True
उठापटक,uʈʰaːpʈək,90,utaptak,NOUN,True
उतरेगी,utreɡiː,90,utregi,VERB,False
उपकप्तान,upkəptaːn,90,upkaptan,X,True
उमस,uməs,90,umas,X,True
उर्वरक,urvərək,90,urvarak,NOUN,True
ऋतु,r̩tu,90,rtu,PROPN,True
एसएस,esəes,90,esaes,PROPN,False
ऑपरेटिंग,ऑpəreʈiŋɡə,90,ऑparetinga,X,False
कैप्सूल,kæːpsuːl,90,kaepsul,NOUN,True
कैमियो,kæːmijo,90,kaemijo,NOUN,False
क्लासिक,klaːsik,90,klasik,NOUN,False
खेद,kʰed,90,ked,NOUN,True
खेलनी,kʰelniː,90,kelni,VERB,False
चश्मदीद,t͡ʃəʃmədiːd,90,t͡ʃaʃmadid,ADP,True
छत्रपति,t͡ʃʰətrəpti,90,t͡ʃatrapti,NOUN,True
जड़कर,d͡ʒəɽkər,90,ʒadkar,VERB,False
जालौन,d͡ʒaːlɔːn,90,ʒalon,NOUN,True
टैंकों,ʈæːŋkon,90,taenkon,NOUN,False
तिब्बत,tibbət,90,tibbat,PROPN,True
तीखा,tiːkʰaː,90,tika,ADJ,True
त्यौहार,tjɔːɦaːr,90,tjohar,NOUN,True
दबंगों,dəbəŋɡon,90,dabangon,NOUN,False
धमकियों,d̤əmkijon,90,damkijon,NOUN,False
नरमी,nərmiː,90,narmi,PROPN,True
नुसरत,nusrət,90,nusrat,PROPN,False
पंडाल,pənɖaːl,90,pandal,NOUN,True
परफॉरमेंस,pərpʰɔrmensə,90,parpormensa,X,False
पांडा,paːnɖaː,90,panda,NOUN,True
पिक्सल,piksəl,90,piksal,X,True
पीएनजी,piːend͡ʒiː,90,pienʒi,X,False
फूंक,pʰuːŋkə,90,punka,NOUN,False
फॉर्मूले,pʰɔrmuːle,90,pormule,X,False
बकौल,bəkɔːl,90,bakol,X,False
बचेगा,bət͡ʃeɡaː,90,bat͡ʃega,VERB,False
भनोट,b̤ənoʈ,90,banot,NOUN,False
भाषणों,b̤aːʂɳon,90,basnon,NOUN,False
यात्राओं,jaːtraːon,90,jatraon,NOUN,False
रहो,rəɦo,90,raho,ADV,False
रिमूव,rimuːv,90,rimuv,NOUN,False
रेरा,reraː,90,rera,PROPN,False
लाहिड़ी,laːɦiɽiː,90,lahidi,PROPN,False
लीज,liːd͡ʒ,90,liʒ,VERB,True
लेक,lek,90,lek,NOUN,True
लड़का,ləɽkaː,90,ladka,NOUN,False
वियतनाम,vijtənaːm,90,vijtanam,X,True
वैक्यूम,væːkjuːm,90,vaekjum,X,False
शिपयार्ड,ʃipjaːrɖə,90,ʃipjarda,X,False
शोभराज,ʃob̤raːd͡ʒ,90,ʃobraʒ,PROPN,False
सचमुच,sət͡ʃmut͡ʃ,90,sat͡ʃmut͡ʃ,ADV,True
सामी,saːmiː,90,sami,ADP,True
सीरियस,siːrijəs,90,sirijas,X,False
सुयोग,sujoɡ,90,sujog,NOUN,False
सौहार्द,sɔːɦaːrdə,90,soharda,NOUN,True
स्पैम,spæːm,90,spaem,X,False
हारिस,ɦaːris,90,haris,PROPN,False
हिलाकर,ɦilaːkər,90,hilakar,VERB,False
हेल्प,ɦelpə,90,helpa,X,False
हैरत,ɦæːrət,90,haerat,PROPN,True
अफेयर्स,apʰejrsə,89,apejrsa,NOUN,False
अमानतुल्लाह,amaːntullaːɦ,89,amantullah,X,False
इंटरेस्ट,inʈresʈə,89,intresta,NOUN,True
इकलौता,iklɔːtaː,89,iklota,PART,True
इश्क,iʃkə,89,iʃka,NOUN,True
उन्नत,unnət,89,unnat,X,True
उर्मिला,urmilaː,89,urmila,NOUN,True
एनिमल,eniməl,89,enimal,X,False
एमएलए,eməeləe,89,emaelae,X,True
ओपी,opiː,89,opi,X,False
ओपेक,opek,89,opek,PROPN,False
कटने,kəʈne,89,katne,VERB,False
कटा,kəʈaː,89,kata,NOUN,True
कॉमर्शियल,kɔmrʃijəl,89,komrʃijal,X,False
क्लाउड,klaːuɖ,89,klaud,X,False
ख़ास,xaːs,89,kas,ADJ,True
खाक,kʰaːk,89,kak,X,True
गंगाजल,ɡəŋɡaːd͡ʒəl,89,gangaʒal,PROPN,True
गुजरा,ɡud͡ʒraː,89,guʒra,PART,True
गोल्फ,ɡolpʰə,89,golpa,NOUN,True
घंटी,ɡ̤ənʈiː,89,g̤anti,NOUN,True
चिन्हित,t͡ʃinɦit,89,t͡ʃinhit,VERB,True
छिपाकर,t͡ʃʰipaːkər,89,t͡ʃipakar,PART,False
ट्रकों,ʈrəkon,89,trakon,NOUN,False
डिकॉक,ɖikɔk,89,dikok,X,False
डीवा,ɖiːvaː,89,diva,X,False
डेटशीट,ɖeʈʃiːʈ,89,detʃit,X,False
दब,dəb,89,dab,NOUN,False
दुर्व्यवहार,durvjəvɦaːr,89,durvjavhar,NOUN,True
देवोलीना,devoliːnaː,89,devolina,NOUN,False
धाराएं,d̤aːraːen,89,daraen,NOUN,False
धीरज,d̤iːrəd͡ʒ,89,diraʒ,ADV,True
नानक,naːnək,89,nanak,ADJ,True
नारी,naːriː,89,nari,NOUN,True
निष्क्रिय,niʂkrij,89,niskrij,X,True
नेम,nem,89,nem,X,False
पत्तों,pətton,89,patton,NOUN,False
पदोन्नति,pədonnəti,89,padonnati,PART,True
पावन,paːvən,89,pavan,NOUN,True
पिन,pin,89,pin,NOUN,True
पीएलए,piːeləe,89,pielae,X,False
प्रखंड,prəkʰənɖə,89,prakanda,NOUN,True
प्लेटफार्म,pleʈpʰaːrmə,89,pletparma,NOUN,True
पढ़ने,pəɽ̥əne,89,pad̥ane,X,False
बढ़ेंगे,bəɽ̥eŋɡe,89,bad̥enge,VERB,False
बबलू,bəbluː,89,bablu,PROPN,False
बमों,bəmon,89,bamon,NOUN,False
बायो,baːjo,89,bajo,X,False
ब्योरा,bjoraː,89,bjora,X,True
ब्राह्मणों,braːɦməɳon,89,brahmanon,NOUN,False
भौगोलिक,b̤ɔːɡolik,89,bogolik,ADJ,True
मान्या,maːnjaː,89,manja,PROPN,True
माहेश्वरी,maːɦeʃvəriː,89,maheʃvari,PROPN,False
मीनाक्षी,miːnaːkʂiː,89,minaksi,PROPN,True
मीम्स,miːmsə,89,mimsa,X,False
मेहरा,meɦraː,89,mehra,PROPN,False
मौन,mɔːn,89,mon,PART,True
रंजीत,rəɲd͡ʒiːt,89,ranʒit,PROPN,False
रामदास,raːmdaːs,89,ramdas,PROPN,True
रिजिजू,rid͡ʒid͡ʒuː,89,riʒiʒu,PROPN,False
रुझानों,rud͡ʒ̤aːnon,89,ruʒanon,NOUN,False
वाइल्ड,vaːilɖə,89,vailda,X,False
वाह,vaːɦ,89,vah,PART,False
वैली,væːliː,89,vaeli,NOUN,False
शंकराचार्य,ʃəŋkraːt͡ʃaːrjə,89,ʃankrat͡ʃarja,PROPN,True
श्रीनिवास,ʃriːnivaːs,89,ʃrinivas,PROPN,True
साज़िश,saːziʃ,89,sasiʃ,NOUN,True
सेवक,sevək,89,sevak,NOUN,True
सेहतमंद,seɦtəməndə,89,sehtamanda,ADJ,True
सैर,sæːr,89,saer,X,True
स्वार्थ,svaːrtʰə,89,svarta,NOUN,True
हर्षवर्धन,ɦərʂəvrd̤ən,89,harsavrdan,PROPN,False
अधूरी,ad̤uːriː,88,aduri,ADJ,False
अनाउंस,anaːunsə,88,anaunsa,PART,False
अभिन्न,ab̤innə,88,abinna,ADJ,True
अविवाहित,avivaːɦit,88,avivahit,ADJ,True
आईईडी,aːiːiːɖiː,88,aiidi,X,False
आर्टिफिशियल,aːrʈipʰiʃijəl,88,artipiʃijal,X,False
आलोचक,aːlot͡ʃək,88,alot͡ʃak,NOUN,True
आशिक,aːʃik,88,aʃik,NOUN,True
इकॉनमी,ikɔnmiː,88,ikonmi,NOUN,True
उपभोक्ताओं,upb̤oktaːon,88,upboktaon,NOUN,False
एडमिनिस्ट्रेशन,eɖminisʈreʃən,88,edministreʃan,ADP,True
ऐन,æːn,88,aen,X,True
खोपड़ी,kʰopɽiː,88,kopdi,NOUN,True
गा,ɡaː,88,ga,X,False
गोपनीयता,ɡopniːjtaː,88,gopnijta,X,True
घिरा,ɡ̤iraː,88,g̤ira,VERB,True
चॉइस,t͡ʃɔis,88,t͡ʃois,X,False
छोटू,t͡ʃʰoʈuː,88,t͡ʃotu,X,False
जाटव,d͡ʒaːʈəv,88,ʒatav,X,False
जेहन,d͡ʒeɦən,88,ʒehan,PROPN,True
ट्यूमर,ʈjuːmər,88,tjumar,X,True
डकैती,ɖəkæːtiː,88,dakaeti,NOUN,True
डीएमके,ɖiːemke,88,diemke,PROPN,True
डेप,ɖep,88,dep,NOUN,False
ड्रिल,ɖril,88,dril,NOUN,True
तन,tən,88,tan,X,True
तालिबानी,taːlibaːniː,88,talibani,PART,True
दंडित,dənɖit,88,dandit,NOUN,True
दलाल,dəlaːl,88,dalal,NOUN,True
नर्वस,nərvəs,88,narvas,NOUN,False
परंपराओं,pərəmpraːon,88,parampraon,NOUN,False
पाटनी,paːʈniː,88,patni,X,False
पीवी,piːviː,88,pivi,X,False
प्रतीक्षा,prətiːkʂaː,88,pratiksa,NOUN,True
बंदरों,bəndron,88,bandron,NOUN,False
बालिका,baːlikaː,88,balika,NOUN,True
बीता,biːtaː,88,bita,PART,True
ब्रेड,breɖ,88,bred,NOUN,True
भड़की,b̤əɽkiː,88,badki,ADJ,False
भांग,b̤aːŋɡə,88,banga,NOUN,True
मंचों,məɲt͡ʃon,88,mant͡ʃon,NOUN,False
मध्यक्रम,məd̤jəkrəm,88,madjakram,PART,False
मिनिस्ट्री,minisʈriː,88,ministri,X,True
मुड़कर,muɽkər,88,mudkar,PART,False
रनिंग,rəniŋɡə,88,raninga,NOUN,False
लघु,ləɡ̤u,88,lag̤u,ADJ,True
वंदना,vəndnaː,88,vandna,NOUN,True
वर्जित,vərd͡ʒit,88,varʒit,X,True
वस्तुएं,vəstuen,88,vastuen,NOUN,False
शहीदों,ʃəɦiːdon,88,ʃahidon,NOUN,False
शेड,ʃeɖ,88,ʃed,NOUN,True
शोपियां,ʃopijaːn,88,ʃopijan,NOUN,False
समांथा,səmaːntʰaː,88,samanta,X,False
सवर्ण,səvrɳə,88,savrna,NOUN,True
सहन,səɦən,88,sahan,VERB,True
सिंघवी,siŋɡ̤viː,88,sing̤vi,PART,False
हमजा,ɦəmd͡ʒaː,88,hamʒa,NOUN,False
अपमानित,apmaːnit,87,apmanit,VERB,True
अबकी,abkiː,87,abki,ADV,True
अशांति,aʃaːnti,87,aʃanti,PART,True
आसन,aːsən,87,asan,PROPN,True
आहूजा,aːɦuːd͡ʒaː,87,ahuʒa,PROPN,False
इंद्राणी,indraːɳiː,87,indrani,PART,True
इवेंट्स,ivenʈsə,87,iventsa,NOUN,False
एनडीटीवी,enɖiːʈiːviː,87,enditivi,X,False
एवज,evəd͡ʒ,87,evaʒ,X,True
एसेट,eseʈ,87,eset,X,False
ऑपरेटर्स,ऑpəreʈrsə,87,ऑparetrsa,NOUN,False
कराता,kəraːtaː,87,karata,PART,False
कहलाता,kəɦlaːtaː,87,kahlata,VERB,False
कुढ़नी,kuɽ̥əniː,87,kud̥ani,NOUN,False
कूलिंग,kuːliŋɡə,87,kulinga,X,False
खरा,kʰəraː,87,kara,ADJ,True
गाए,ɡaːe,87,gae,X,False
गुल,ɡul,87,gul,NOUN,True
जीवंत,d͡ʒiːvəntə,87,ʒivanta,X,True
जूता,d͡ʒuːtaː,87,ʒuta,X,True
जोहानिसबर्ग,d͡ʒoɦaːnisbərɡə,87,ʒohanisbarga,PROPN,False
ज्ञात,d͡ʒɲaːt,87,ʒnat,PART,True
ट्रूडो,ʈruːɖo,87,trudo,PROPN,False
डाबी,ɖaːbiː,87,dabi,X,False
डिज़ाइन,ɖizaːin,87,disain,X,True
तब्बू,təbbuː,87,tabbu,PROPN,False
थ्रिलर,tʰrilər,87,trilar,NOUN,False
दंपत्ति,dəmptti,87,damptti,PART,True
नगरपालिका,nəɡrəpaːlikaː,87,nagrapalika,NOUN,True
नल,nəl,87,nal,NOUN,True
नित्यानंद,nitjaːnəndə,87,nitjananda,PROPN,False
पचास,pət͡ʃaːs,87,pat͡ʃas,NUM,True
परवरिश,pərvəriʃ,87,parvariʃ,NOUN,True
परीक्षार्थियों,pəriːkʂaːrtʰijon,87,pariksartijon,ADP,False
पहचानने,pəɦt͡ʃaːnne,87,paht͡ʃanne,VERB,False
पहनती,pəɦnətiː,87,pahnati,VERB,False
पाम,paːm,87,pam,NOUN,False
पीली,piːliː,87,pili,ADJ,False
प्रभात,prəb̤aːt,87,prabat,X,True
प्रवास,prəvaːs,87,pravas,NOUN,True
फन,pʰən,87,pan,NOUN,True
बाबत,baːbət,87,babat,X,True
बालक,baːlək,87,balak,NOUN,True
बेवकूफ,bevkuːpʰ,87,bevkup,PROPN,True
भद्रा,b̤ədraː,87,badra,NOUN,True
भरें,b̤əren,87,baren,X,False
महतो,məɦto,87,mahto,NOUN,False
माकपा,maːkpaː,87,makpa,PROPN,False
माथुर,maːtʰur,87,matur,PROPN,False
मोनू,monuː,87,monu,PROPN,False
रंगे,rəŋɡe,87,range,ADJ,False
रैपर,ræːpər,87,raepar,X,False
रॉबिन,rɔbin,87,robin,PROPN,True
विक्टोरिया,vikʈorijaː,87,viktorija,NOUN,True
विश्वकर्मा,viʃvəkrmaː,87,viʃvakrma,PROPN,True
वोलोडिमिर,voloɖimir,87,volodimir,X,False
व्यायाम,vjaːjaːm,87,vjajam,NOUN,True
शासनकाल,ʃaːsnəkaːl,87,ʃasnakal,NOUN,True
शैलेंद्र,ʃæːlendrə,87,ʃaelendra,NOUN,True
संवेदनशीलता,sənvednəʃiːltaː,87,sanvednaʃilta,NOUN,True
साधे,saːd̤e,87,sade,ADJ,False
सीए,siːe,87,sie,X,False
हत्याएं,ɦətjaːen,87,hatjaen,NOUN,False
अंधाधुंध,nd̤aːd̤und̤ə,86,ndadunda,PART,True
अटक,aʈək,86,atak,X,True
अभिभावक,ab̤ib̤aːvək,86,abibavak,NOUN,True
अवनीश,avniːʃ,86,avniʃ,PROPN,True
आकाशीय,aːkaːʃiːj,86,akaʃij,ADJ,True
इंसानियत,insaːnijət,86,insanijat,NOUN,True
इयान,ijaːn,86,ijan,PROPN,False
उड़ाते,uɽaːte,86,udate,VERB,False
उत्तीर्ण,uttiːrɳə,86,uttirna,PART,True
उद्योगपतियों,udjoɡpətijon,86,udjogpatijon,NOUN,False
एडवांस्ड,eɖvaːnsɖə,86,edvansda,X,False
एप्पल,eppəl,86,eppal,X,True
करन,kərən,86,karan,PROPN,False
करोड़ों,kəroɽon,86,karodon,NOUN,False
कीर्ति,kiːrti,86,kirti,PROPN,True
कुर्मी,kurmiː,86,kurmi,NOUN,False
क्रोम,krom,86,krom,X,False
खलबली,kʰəlbəliː,86,kalbali,NOUN,True
गठजोड़,ɡəʈʰd͡ʒoɽ,86,gatʒod,NOUN,True
चढ़ाने,t͡ʃəɽ̥aːne,86,t͡ʃad̥ane,VERB,False
चयनकर्ताओं,t͡ʃəjnəkrtaːon,86,t͡ʃajnakrtaon,X,False
चेतना,t͡ʃetnaː,86,t͡ʃetna,NOUN,True
छेड़,t͡ʃʰeɽ,86,t͡ʃed,NOUN,False
जमीयत,d͡ʒəmiːjət,86,ʒamijat,NOUN,False
जोया,d͡ʒojaː,86,ʒoja,X,False
टीसीएस,ʈiːsiːes,86,tisies,X,False
ठान,ʈʰaːn,86,tan,X,False
थैंक,tʰæːŋkə,86,taenka,X,False
दस्ते,dəste,86,daste,X,False
दानिया,daːnijaː,86,danija,NOUN,False
नंदा,nəndaː,86,nanda,NOUN,True
निकलेगा,nikleɡaː,86,niklega,VERB,False
पढ़े,pəɽ̥e,86,pad̥e,X,False
पीडब्ल्यूडी,piːɖbljuːɖiː,86,pidbljudi,X,False
पीपीपी,piːpiːpiː,86,pipipi,X,True
पैरेंट,pæːrenʈə,86,paerenta,NOUN,False
प्रतिष्ठान,prətiʂʈʰaːn,86,pratistan,X,True
फलदायी,pʰəldaːjiː,86,paldaji,ADJ,True
बताइए,bətaːie,86,bataie,VERB,False
बनाएगा,bənaːeɡaː,86,banaega,VERB,False
बिरयानी,birjaːniː,86,birjani,X,True
बीपीएससी,biːpiːessiː,86,bipiessi,X,False
बोरी,boriː,86,bori,NOUN,True
ब्रावो,braːvo,86,bravo,X,False
मताधिकार,mətaːd̤ikaːr,86,matadikar,NOUN,True
माँग,mãːɡə,86,maːga,VERB,True
मेकर,mekər,86,mekar,X,False
मैक्सिमम,mæːksiməm,86,maeksimam,NOUN,False
मौद्रिक,mɔːdrik,86,modrik,X,True
राइड,raːiɖ,86,raid,NOUN,True
रिचर्ड,rit͡ʃrɖə,86,rit͡ʃrda,NOUN,False
रिपोर्टों,riporʈon,86,riporton,NOUN,False
रिहायशी,riɦaːjʃiː,86,rihajʃi,PROPN,True
रोहतगी,roɦtəɡiː,86,rohtagi,NOUN,False
लाभदायक,laːb̤daːjək,86,labdajak,ADJ,True
वाउचर,vaːut͡ʃər,86,vaut͡ʃar,X,False
विक्रमादित्य,vikrəmaːditjə,86,vikramaditja,PROPN,True
वीरता,viːrtaː,86,virta,NOUN,True
वेदांता,vedaːntaː,86,vedanta,X,False
शरिया,ʃərijaː,86,ʃarija,NOUN,False
शिया,ʃijaː,86,ʃija,X,True
शिवरात्रि,ʃivraːtri,86,ʃivratri,PROPN,True
संतोषजनक,səntoʂd͡ʒənək,86,santosʒanak,ADJ,True
संबित,səmbit,86,sambit,X,False
सतना,sətnaː,86,satna,NOUN,False
सूर्यकांत,suːrjəkaːntə,86,surjakanta,PROPN,True
सेनाएं,senaːen,86,senaen,NOUN,False
सेमेस्टर,semesʈər,86,semestar,NOUN,True
सैम्पल,sæːmpəl,86,saempal,NOUN,True
सोनाक्षी,sonaːkʂiː,86,sonaksi,PROPN,False
स्मोकिंग,smokiŋɡə,86,smokinga,NOUN,True
स्वीकार्य,sviːkaːrjə,86,svikarja,ADJ,True
हबीब,ɦəbiːb,86,habib,PROPN,False
अकरम,akrəm,85,akram,PROPN,False
अपार,apaːr,85,apar,ADJ,True
अलॉटमेंट,alɔʈmenʈə,85,alotmenta,X,True
आंच,aːɲt͡ʃə,85,ant͡ʃa,NOUN,False
उखाड़,ukʰaːɽ,85,ukad,NOUN,True
एक्सपीरिएंस,eksəpiːriensə,85,eksapiriensa,X,False
कमिशन,kəmiʃən,85,kamiʃan,NOUN,True
करीम,kəriːm,85,karim,PROPN,True
कार्टून,kaːrʈuːn,85,kartun,NOUN,True
कुंबले,kumble,85,kumble,PROPN,False
कॉन्सर्ट,kɔnsərʈə,85,konsarta,X,False
कोट,koʈ,85,kot,X,True
कोल्हे,kolɦe,85,kolhe,X,False
कौल,kɔːl,85,kol,NOUN,True
क्रेटर,kreʈər,85,kretar,X,True
गुड़,ɡuɽ,85,gud,NOUN,True
गौस,ɡɔːs,85,gos,X,False
छिटपुट,t͡ʃʰiʈpuʈ,85,t͡ʃitput,X,True
जीवनदान,d͡ʒiːvnədaːn,85,ʒivnadan,NOUN,True
ज्योतिषाचार्य,d͡ʒjotiʂaːt͡ʃaːrjə,85,ʒjotisat͡ʃarja,PROPN,False
टर्मिनल,ʈərminəl,85,tarminal,NOUN,True
टॉपर,ʈɔpər,85,topar,NOUN,True
डंपर,ɖəmpər,85,dampar,X,False
डिश,ɖiʃ,85,diʃ,NOUN,False
डिस्ट्रिक्ट,ɖisʈrikʈə,85,distrikta,X,False
तड़का,təɽkaː,85,tadka,PART,True
तहखाने,təɦkʰaːne,85,tahkane,NOUN,False
दरकार,dərkaːr,85,darkar,NOUN,True
नाखून,naːkʰuːn,85,nakun,ADJ,True
नाश्ते,naːʃte,85,naʃte,PART,False
पत्नियों,pətnijon,85,patnijon,NOUN,False
पीटने,piːʈne,85,pitne,VERB,False
पुण्य,puɳjə,85,punja,NOUN,True
फिलीपींस,pʰiliːpiːnsə,85,pilipinsa,NOUN,True
फिल्म्स,pʰilmsə,85,pilmsa,X,False
फ्रीज,pʰriːd͡ʒ,85,priʒ,NOUN,False
बाउंसर,baːunsər,85,baunsar,X,False
बाबरी,baːbriː,85,babri,PROPN,True
बिरादरी,biraːdriː,85,biradri,PROPN,True
बुद्धि,budd̤i,85,buddi,NOUN,True
बेहाल,beɦaːl,85,behal,ADJ,True
बैठाकर,bæːʈʰaːkər,85,baetakar,VERB,False
बोरा,boraː,85,bora,PROPN,True
भारतवर्ष,b̤aːrtəvrʂə,85,bartavrsa,PROPN,True
भाला,b̤aːlaː,85,bala,PART,True
भिजवा,b̤id͡ʒvaː,85,biʒva,PART,False
मंजू,məɲd͡ʒuː,85,manʒu,PROPN,False
मनमुटाव,mənmuʈaːv,85,manmutav,X,True
महकमे,məɦkəme,85,mahkame,NOUN,False
मानुषी,maːnuʂiː,85,manusi,NOUN,True
रण,rəɳ,85,ran,PROPN,True
राइटर,raːiʈər,85,raitar,X,False
रिद्धिमा,ridd̤imaː,85,riddima,PROPN,False
रोल्स,rolsə,85,rolsa,NOUN,False
लेखपाल,lekʰpaːl,85,lekpal,PROPN,True
वाक्य,vaːkjə,85,vakja,NOUN,True
वुहान,vuɦaːn,85,vuhan,X,False
वैचारिक,væːt͡ʃaːrik,85,vaet͡ʃarik,X,True
वॉल्कर,vɔlkər,85,volkar,X,False
व्यवस्थाओं,vjəvstʰaːon,85,vjavstaon,X,False
शरणार्थी,ʃərɳaːrtʰiː,85,ʃarnarti,NOUN,True
शुद्धता,ʃudd̤ətaː,85,ʃuddata,ADJ,True
षड्यंत्र,ʂəɖjəntrə,85,sadjantra,NOUN,True
सगे,səɡe,85,sage,NOUN,False
समीप,səmiːp,85,samip,ADV,True
सरेआम,səreaːm,85,saream,X,True
हमे,ɦəme,85,hame,ADP,False
हेगड़े,ɦeɡɽe,85,hegde,PART,False
हैदर,ɦæːdər,85,haedar,NOUN,True
अजेय,ad͡ʒej,84,aʒej,PROPN,True
अप्रत्यक्ष,aprətjəkʂə,84,apratjaksa,ADJ,True
आदर,aːdər,84,adar,NOUN,True
आरटीआई,aːrʈiːaːiː,84,artiai,X,True
आरोपित,aːropit,84,aropit,NOUN,True
एक्टिविस्ट,ekʈivisʈə,84,ektivista,NOUN,False
करानी,kəraːniː,84,karani,VERB,False
कार्यशैली,kaːrjəʃæːliː,84,karjaʃaeli,X,True
कुल्हाड़ी,kulɦaːɽiː,84,kulhadi,NOUN,True
कूदकर,kuːdkər,84,kudkar,PART,False
कैपेसिटी,kæːpesiʈiː,84,kaepesiti,NOUN,False
क्रुणाल,kruɳaːl,84,krunal,PART,False
खानी,kʰaːniː,84,kani,NOUN,False
गलियारे,ɡəlijaːre,84,galijare,NOUN,False
छोड़ने,t͡ʃʰoɽne,84,t͡ʃodne,VERB,False
जीवनशैली,d͡ʒiːvnəʃæːliː,84,ʒivnaʃaeli,NOUN,True
झुंड,d͡ʒ̤unɖə,84,ʒunda,NOUN,True
डिस्टेंसिंग,ɖisʈensiŋɡə,84,distensinga,ADP,False
डीयू,ɖiːjuː,84,diju,PROPN,False
तानाशाह,taːnaːʃaːɦ,84,tanaʃah,PROPN,True
दयाबेन,dəjaːben,84,dajaben,PROPN,False
दयाशंकर,dəjaːʃəŋkər,84,dajaʃankar,PROPN,False
धौलपुर,d̤ɔːlpur,84,dolpur,PROPN,True
पंचायती,pəɲt͡ʃaːjtiː,84,pant͡ʃajti,NOUN,True
पकड़े,pəkɽe,84,pakde,VERB,False
पब्लिश,pəbliʃ,84,pabliʃ,NOUN,False
परवान,pərvaːn,84,parvan,PROPN,True
परीक्षार्थी,pəriːkʂaːrtʰiː,84,pariksarti,ADP,True
पीएसी,piːesiː,84,piesi,X,True
प्लीज,pliːd͡ʒ,84,pliʒ,ADV,False
फैजल,pʰæːd͡ʒəl,84,paeʒal,PROPN,False
फॉरेस्ट,pʰɔresʈə,84,poresta,X,False
बागडोर,baːɡɖor,84,bagdor,NOUN,True
बिताया,bitaːjaː,84,bitaja,VERB,False
बौद्धिक,bɔːdd̤ik,84,boddik,ADJ,True
भरकम,b̤ərkəm,84,barkam,NOUN,False
मरे,məre,84,mare,VERB,False
मिया,mijaː,84,mija,NOUN,False
मिसेज,mised͡ʒ,84,miseʒ,X,False
मुल्कों,mulkon,84,mulkon,NOUN,False
मौर्या,mɔːrjaː,84,morja,X,False
रिपोर्टिंग,riporʈiŋɡə,84,riportinga,NOUN,False
रेसिपी,resipiː,84,resipi,NOUN,False
रैंप,ræːmpə,84,raempa,X,False
लहजे,ləɦd͡ʒe,84,lahʒe,NOUN,False
लेह,leɦ,84,leh,X,True
विवाहित,vivaːɦit,84,vivahit,ADJ,True
विविध,vivid̤,84,vivid,X,True
व्यवसायी,vjəvsaːjiː,84,vjavsaji,NOUN,True
वक़्त,vəqtə,84,vakta,NOUN,False
संवार,sənvaːr,84,sanvar,VERB,False
सक्सेसफुल,səksespʰul,84,saksespul,X,False
सचेत,sət͡ʃet,84,sat͡ʃet,ADV,True
सनरूफ,sənruːpʰ,84,sanrup,PROPN,False
सरफराज,sərpʰəraːd͡ʒ,84,sarparaʒ,NOUN,False
साबुन,saːbun,84,sabun,NOUN,True
सीडब्ल्यूसी,siːɖbljuːsiː,84,sidbljusi,X,False
सुप्रियो,suprijo,84,suprijo,PROPN,False
सेनन,senən,84,senan,X,False
सेनानियों,senaːnijon,84,senanijon,NOUN,False
स्ट्रांग,sʈraːŋɡə,84,stranga,X,False
हिरण,ɦirəɳ,84,hiran,PROPN,True
हॉलिडे,ɦɔliɖe,84,holide,NOUN,False
अर्थव्यवस्थाओं,artʰəvjəvstʰaːon,83,artavjavstaon,X,False
आंकड़ा,aːŋkɽaː,83,ankda,NOUN,False
इत्र,itrə,83,itra,NOUN,True
एसओजी,esəod͡ʒiː,83,esaoʒi,X,False
क,kə,83,ka,X,True
कलर्स,kəlrsə,83,kalrsa,NOUN,False
कविताओं,kəvitaːon,83,kavitaon,X,False
काजी,kaːd͡ʒiː,83,kaʒi,NOUN,False
कासिम,kaːsim,83,kasim,NOUN,True
कॉर्पोरेट,kɔrporeʈ,83,korporet,NOUN,True
खली,kʰəliː,83,kali,X,True
खेलता,kʰeltaː,83,kelta,VERB,False
खेलेगी,kʰeleɡiː,83,kelegi,VERB,False
गिरता,ɡirtaː,83,girta,VERB,False
चचेरे,t͡ʃət͡ʃere,83,t͡ʃat͡ʃere,NOUN,False
चावला,t͡ʃaːvlaː,83,t͡ʃavla,PROPN,False
जलाएं,d͡ʒəlaːen,83,ʒalaen,VERB,False
